Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2024,01,Allegany,0301,Flintstone Elementary,Elementary,93.7,27862.5,29735.0,27.5,46,15.0,25,167,37,203,18.2,20250116
2024,01,Allegany,0401,South Penn Elementary,Elementary,88.8,55345.0,62332.0,7.4,25,35.0,119,340,204,458,44.5,20250116
2024,01,Allegany,0402,John Humbird Elementary,Elementary,88.2,28081.5,31844.0,8.6,15,39.7,69,174,112,227,49.3,20250116
2024,01,Allegany,0405,Fort Hill High,High,85.6,101868.5,119049.0,16.0,106,39.6,262,662,326,699,46.6,20250116
2024,01,Allegany,0406,Washington Middle,Middle,87.7,88848.0,101359.0,17.7,100,36.3,205,564,273,597,45.7,20250116
2024,01,Allegany,0502,Northeast Elementary,Elementary,92.2,33811.5,36672.0,19.3,39,23.3,47,202,86,265,32.5,20250116
2024,01,Allegany,0504,Braddock Middle,Middle,89.1,93075.5,104507.0,14.6,84,30.1,173,574,227,610,37.2,20250116
2024,01,Allegany,0601,Center for Career & Technical Education,High,89.0,50054.0,56245.0,10.6,33,35.3,110,312,142,319,44.5,20250116
2024,01,Allegany,0603,West Side Elementary,Elementary,92.3,40121.5,43448.0,21.2,50,20.3,48,236,90,321,28.0,20250116
2024,01,Allegany,0606,Allegany High,High,88.6,108447.0,122423.0,19.5,131,31.4,211,672,304,727,41.8,20250116
2024,01,Allegany,0701,Cresaptown Elementary,Elementary,92.7,31402.5,33879.0,17.3,33,18.3,35,191,69,233,29.6,20250116
2024,01,Allegany,0702,Bel Air Elementary,Elementary,93.9,28124.0,29941.0,32.1,54,12.5,21,168,49,215,22.8,20250116
2024,01,Allegany,0801,Westernport Elementary,Elementary,91.6,31784.5,34692.0,14.1,27,24.0,46,192,67,234,28.6,20250116
2024,01,Allegany,0802,Westmar Middle,Middle,91.0,39581.0,43507.0,13.7,33,28.6,69,241,88,250,35.2,20250116
2024,01,Allegany,1001,George's Creek Elementary,Elementary,92.1,30171.5,32744.0,15.4,28,23.6,43,182,79,225,35.1,20250116
2024,01,Allegany,1101,Frost Elementary,Elementary,92.7,26905.0,29036.0,21.1,34,15.5,25,161,45,213,21.1,20250116
2024,01,Allegany,1301,Mount Savage Middle,Middle,90.3,71488.5,79130.0,16.6,73,28.9,127,440,163,454,35.9,20250116
2024,01,Allegany,1302,Mt. Savage Elementary,Elementary,93.2,28909.0,31006.0,16.9,29,14.5,25,172,44,207,21.3,20250116
2024,01,Allegany,2404,Mountain Ridge High School,High,88.5,115394.5,130424.0,13.1,95,32.4,234,723,304,753,40.4,20250116
2024,01,Allegany,2801,Beall Elementary,Elementary,92.8,50730.0,54694.0,17.5,53,15.9,48,302,105,374,28.1,20250116
2024,01,Allegany,2901,Cash Valley Elementary,Elementary,91.0,31656.5,34806.0,13.3,26,26.2,51,195,92,249,36.9,20250116
2024,01,Allegany,2902,Parkside Elementary,Elementary,93.6,27264.0,29118.0,25.3,41,15.4,25,162,55,215,25.6,20250116
2024,01,Allegany,A,All Allegany Schools,Elementary,91.9,472169.0,513947.0,17.3,493,22.7,647,2847,1088,3551,30.6,20250116
2024,01,Allegany,A,All Allegany Schools,Middle,89.2,292993.0,328503.0,15.6,285,31.7,578,1823,734,1888,38.9,20250116
2024,01,Allegany,A,All Allegany Schools,High,87.8,375764.0,428141.0,15.4,365,34.7,823,2370,1054,2472,42.6,20250116
2024,01,Allegany,A,All Allegany Schools,All,89.8,1140926.0,1270591.0,16.2,1143,29.1,2048,7040,2876,7911,36.4,20250116
2024,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,91.4,122543.5,134104.0,20.5,152,22.3,165,741,243,789,30.8,20250116
2024,02,Anne Arundel,1033,Glen Burnie High,High,87.8,372839.5,424867.0,18.2,425,33.5,782,2335,1036,2527,41.0,20250116
2024,02,Anne Arundel,1043,Corkran Middle School,Middle,92.7,104403.0,112655.0,23.4,146,18.4,115,624,168,672,25.0,20250116
2024,02,Anne Arundel,1053,Lindale Middle,Middle,92.1,194295.0,210986.0,23.7,278,19.3,226,1171,333,1239,26.9,20250116
2024,02,Anne Arundel,1063,Marley Middle,Middle,93.2,167891.0,180067.0,28.3,283,15.6,156,1000,229,1065,21.5,20250116
2024,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,91.6,39569.0,43177.0,15.2,36,18.6,44,237,89,298,29.9,20250116
2024,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,92.6,60886.0,65733.0,19.7,72,17.5,64,366,128,472,27.1,20250116
2024,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,91.6,51921.0,56678.0,16.5,52,22.8,72,316,122,387,31.5,20250116
2024,02,Anne Arundel,1122,Freetown Elementary,Elementary,90.7,63019.0,69511.0,13.3,51,25.3,97,383,171,492,34.8,20250116
2024,02,Anne Arundel,1132,Glendale Elementary,Elementary,92.6,56718.0,61262.0,18.6,63,17.7,60,339,118,419,28.2,20250116
2024,02,Anne Arundel,1142,Hilltop Elementary,Elementary,91.7,74790.5,81594.0,16.4,74,22.2,100,450,170,584,29.1,20250116
2024,02,Anne Arundel,1152,Linthicum Elementary,Elementary,92.7,59813.5,64514.0,16.3,59,14.9,54,362,99,442,22.4,20250116
2024,02,Anne Arundel,1162,Marley Elementary,Elementary,92.0,97890.0,106376.0,20.5,121,21.2,125,591,233,775,30.1,20250116
2024,02,Anne Arundel,1172,North Glen Elementary,Elementary,93.4,40117.5,42965.0,19.1,46,14.9,36,241,75,299,25.1,20250116
2024,02,Anne Arundel,1182,Oakwood Elementary,Elementary,93.0,46637.5,50130.0,20.9,58,16.5,46,278,89,347,25.6,20250116
2024,02,Anne Arundel,1192,Overlook Elementary,Elementary,91.7,42204.5,46040.0,15.8,41,20.5,53,259,104,329,31.6,20250116
2024,02,Anne Arundel,1202,Park Elementary,Elementary,92.7,74282.0,80103.0,21.4,96,16.0,72,449,139,575,24.2,20250116
2024,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,93.5,65263.0,69796.0,17.9,70,9.9,39,392,95,497,19.1,20250116
2024,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,93.4,51793.5,55441.0,26.5,82,13.5,42,310,83,403,20.6,20250116
2024,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,92.6,70517.5,76187.0,17.7,75,16.7,71,424,130,542,24.0,20250116
2024,02,Anne Arundel,1262,Woodside Elementary,Elementary,93.0,42007.5,45184.0,24.7,61,13.8,34,247,81,336,24.1,20250116
2024,02,Anne Arundel,1274,Marley Glen School,Elementary,86.0,4836.0,5621.0,9.1,3,36.4,12,33,19,40,47.5,20250116
2024,02,Anne Arundel,1274,Marley Glen School,Middle,84.3,2993.5,3550.0,9.5,2,47.6,10,21,10,21,47.6,20250116
2024,02,Anne Arundel,1274,Marley Glen School,High,82.7,2721.0,3291.0,10.5,2,47.4,9,19,13,19,68.4,20250116
2024,02,Anne Arundel,1274,Marley Glen School,All,84.7,10550.5,12462.0,9.6,7,42.5,31,73,42,80,52.5,20250116
2024,02,Anne Arundel,1323,North County High,High,88.3,395029.0,447602.0,17.7,441,31.6,787,2491,1043,2643,39.5,20250116
2024,02,Anne Arundel,2013,Severna Park High,High,94.6,308189.0,325754.0,31.9,575,8.8,158,1804,244,1839,13.3,20250116
2024,02,Anne Arundel,2023,Northeast High,High,90.9,220373.0,242321.0,17.6,236,25.5,342,1340,472,1411,33.5,20250116
2024,02,Anne Arundel,2033,Northeast Middle,Middle,91.7,139415.5,152085.0,12.7,107,20.2,171,845,257,885,29.0,20250116
2024,02,Anne Arundel,2043,Severna Park Middle,Middle,>= 95.0,*,*,30.6,434,<= 5.0,*,1420,108,1433,7.5,20250116
2024,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,*,24.2,99,<= 5.0,*,409,46,512,9.0,20250116
2024,02,Anne Arundel,2062,Belvedere Elementary,Elementary,94.7,72423.5,76460.0,23.2,98,6.9,29,423,59,515,11.5,20250116
2024,02,Anne Arundel,2072,Benfield Elementary,Elementary,>= 95.0,*,*,31.1,109,<= 5.0,*,350,31,439,7.1,20250116
2024,02,Anne Arundel,2082,Bodkin Elementary,Elementary,>= 95.0,*,*,24.0,102,<= 5.0,*,425,43,491,8.8,20250116
2024,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,94.1,88915.5,94446.0,19.0,100,8.3,44,527,93,653,14.2,20250116
2024,02,Anne Arundel,2102,Folger Mckinsey Elementary,Elementary,>= 95.0,*,*,27.5,148,<= 5.0,*,539,34,631,5.4,20250116
2024,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,93.8,51262.5,54661.0,16.4,50,9.5,29,304,57,367,15.5,20250116
2024,02,Anne Arundel,2132,High Point Elementary,Elementary,92.2,88838.5,96305.0,16.0,86,17.0,91,536,160,648,24.7,20250116
2024,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,93.3,68118.5,73031.0,19.0,77,13.5,55,406,88,493,17.8,20250116
2024,02,Anne Arundel,2152,Jones Elementary,Elementary,94.9,43720.0,46065.0,20.1,51,<= 5.0,*,254,26,316,8.2,20250116
2024,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,93.6,39423.5,42108.0,15.8,37,10.7,25,234,52,286,18.2,20250116
2024,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,>= 95.0,*,*,28.4,152,<= 5.0,*,535,47,628,7.5,20250116
2024,02,Anne Arundel,2182,Pasadena Elementary,Elementary,94.1,45405.0,48243.0,24.0,64,10.1,27,267,49,329,14.9,20250116
2024,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,93.3,33892.5,36330.0,20.7,42,14.3,29,203,52,253,20.6,20250116
2024,02,Anne Arundel,2202,Severna Park Elementary,Elementary,>= 95.0,*,*,28.9,93,<= 5.0,*,322,21,382,5.5,20250116
2024,02,Anne Arundel,2212,Solley Elementary,Elementary,92.9,93334.0,100440.0,17.6,98,16.1,90,558,181,714,25.4,20250116
2024,02,Anne Arundel,2222,Sunset Elementary,Elementary,93.4,58141.5,62267.0,20.5,71,11.2,39,347,86,415,20.7,20250116
2024,02,Anne Arundel,2233,Anne Arundel Evening High,High,77.2,38532.0,49920.0,<= 5.0,*,62.6,142,227,414,570,72.6,20250116
2024,02,Anne Arundel,2243,Magothy River Middle,Middle,94.3,114560.5,121476.0,21.9,148,7.1,48,676,94,689,13.6,20250116
2024,02,Anne Arundel,2273,Chesapeake High,High,91.9,241177.0,262458.0,21.0,304,18.8,272,1449,389,1507,25.8,20250116
2024,02,Anne Arundel,2322,Broadneck Elementary,Elementary,94.5,94277.5,99768.0,20.7,115,7.6,42,556,71,659,10.8,20250116
